Date,Weekly U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB  (Dollars per Gallon)
04/06/1990,0.548
04/13/1990,0.54
04/20/1990,0.543
04/27/1990,0.53
05/04/1990,0.522
05/11/1990,0.519
05/18/1990,0.52
05/25/1990,0.508
06/01/1990,0.504
06/08/1990,0.487
06/15/1990,0.497
06/22/1990,0.492
06/29/1990,0.499
07/06/1990,0.493
07/13/1990,0.514
07/20/1990,0.554
07/27/1990,0.558
08/03/1990,0.599
08/10/1990,0.723
08/17/1990,0.775
08/24/1990,0.951
08/31/1990,0.821
09/07/1990,0.904
09/14/1990,0.916
09/21/1990,0.985
09/28/1990,1.221
10/05/1990,1.242
10/12/1990,1.377
10/19/1990,1.226
10/26/1990,1.002
11/02/1990,1.064
11/09/1990,1.024
11/16/1990,0.95
11/23/1990,0.907
11/30/1990,0.955
12/07/1990,0.853
12/14/1990,0.764
12/21/1990,0.774
12/28/1990,0.818
01/04/1991,0.757
01/11/1991,0.785
01/18/1991,0.799
01/25/1991,0.698
02/01/1991,0.67
02/08/1991,0.677
02/15/1991,0.68
02/22/1991,0.611
03/01/1991,0.559
03/08/1991,0.561
03/15/1991,0.557
03/22/1991,0.566
03/29/1991,0.552
04/05/1991,0.538
04/12/1991,0.555
04/19/1991,0.556
04/26/1991,0.561
05/03/1991,0.549
05/10/1991,0.566
05/17/1991,0.57
05/24/1991,0.575
05/31/1991,0.576
06/07/1991,0.557
06/14/1991,0.541
06/21/1991,0.544
06/28/1991,0.548
07/05/1991,0.567
07/12/1991,0.584
07/19/1991,0.593
07/26/1991,0.588
08/02/1991,0.601
08/09/1991,0.597
08/16/1991,0.612
08/23/1991,0.646
08/30/1991,0.645
09/06/1991,0.646
09/13/1991,0.625
09/20/1991,0.627
09/27/1991,0.642
10/04/1991,0.643
10/11/1991,0.659
10/18/1991,0.679
10/25/1991,0.684
11/01/1991,0.688
11/08/1991,0.697
11/15/1991,0.65
11/22/1991,0.62
11/29/1991,0.605
12/06/1991,0.576
12/13/1991,0.524
12/20/1991,0.516
12/27/1991,0.482
01/03/1992,0.48
01/10/1992,0.472
01/17/1992,0.517
01/24/1992,0.525
01/31/1992,0.534
02/07/1992,0.559
02/14/1992,0.564
02/21/1992,0.534
02/28/1992,0.517
03/06/1992,0.512
03/13/1992,0.511
03/20/1992,0.525
03/27/1992,0.511
04/03/1992,0.521
04/10/1992,0.542
04/17/1992,0.54
04/24/1992,0.547
05/01/1992,0.556
05/08/1992,0.58
05/15/1992,0.579
05/22/1992,0.563
05/29/1992,0.601
06/05/1992,0.611
06/12/1992,0.611
06/19/1992,0.61
06/26/1992,0.628
07/03/1992,0.613
07/10/1992,0.597
07/17/1992,0.607
07/24/1992,0.621
07/31/1992,0.621
08/07/1992,0.591
08/14/1992,0.583
08/21/1992,0.588
08/28/1992,0.593
09/04/1992,0.61
09/11/1992,0.616
09/18/1992,0.627
09/25/1992,0.631
10/02/1992,0.632
10/09/1992,0.633
10/16/1992,0.636
10/23/1992,0.617
10/30/1992,0.595
11/06/1992,0.569
11/13/1992,0.563
11/20/1992,0.561
11/27/1992,0.553
12/04/1992,0.536
12/11/1992,0.53
12/18/1992,0.533
12/25/1992,0.567
01/01/1993,0.567
01/08/1993,0.54
01/15/1993,0.525
01/22/1993,0.519
01/29/1993,0.554
02/05/1993,0.56
02/12/1993,0.555
02/19/1993,0.532
02/26/1993,0.562
03/05/1993,0.572
03/12/1993,0.562
03/19/1993,0.559
03/26/1993,0.554
04/02/1993,0.544
04/09/1993,0.549
04/16/1993,0.554
04/23/1993,0.548
04/30/1993,0.553
05/07/1993,0.561
05/14/1993,0.554
05/21/1993,0.55
05/28/1993,0.549
06/04/1993,0.546
06/11/1993,0.529
06/18/1993,0.518
06/25/1993,0.518
07/02/1993,0.516
07/09/1993,0.499
07/16/1993,0.488
07/23/1993,0.488
07/30/1993,0.498
08/06/1993,0.486
08/13/1993,0.493
08/20/1993,0.503
08/27/1993,0.515
09/03/1993,0.521
09/10/1993,0.509
09/17/1993,0.517
09/24/1993,0.553
10/01/1993,0.571
10/08/1993,0.57
10/15/1993,0.575
10/22/1993,0.564
10/29/1993,0.559
11/05/1993,0.546
11/12/1993,0.529
11/19/1993,0.539
11/26/1993,0.534
12/03/1993,0.481
12/10/1993,0.433
12/17/1993,0.435
12/24/1993,0.45
12/31/1993,0.452
01/07/1994,0.489
01/14/1994,0.525
01/21/1994,0.537
01/28/1994,0.558
02/04/1994,0.579
02/11/1994,0.526
02/18/1994,0.455
02/25/1994,0.458
03/04/1994,0.457
03/11/1994,0.439
03/18/1994,0.456
03/25/1994,0.463
04/01/1994,0.437
04/08/1994,0.462
04/15/1994,0.469
04/22/1994,0.473
04/29/1994,0.472
05/06/1994,0.464
05/13/1994,0.475
05/20/1994,0.472
05/27/1994,0.475
06/03/1994,0.483
06/10/1994,0.463
06/17/1994,0.502
06/24/1994,0.511
07/01/1994,0.505
07/08/1994,0.497
07/15/1994,0.508
07/22/1994,0.506
07/29/1994,0.521
08/05/1994,0.528
08/12/1994,0.497
08/19/1994,0.487
08/26/1994,0.481
09/02/1994,0.498
09/09/1994,0.502
09/16/1994,0.475
09/23/1994,0.487
09/30/1994,0.495
10/07/1994,0.506
10/14/1994,0.489
10/21/1994,0.514
10/28/1994,0.527
11/04/1994,0.525
11/11/1994,0.519
11/18/1994,0.5
